"","vm1r","vm2r","vm1c","vm2c","rt","thr","activedurationvm1","avm1","bwrxvm1","bwtxvm1","uvm1","memcommitedvm1","memresidentvm1","netusagerxvm1","netusagetxvm1","qvm1","quvm1","queuestatusvm1","stealvm1","activedurationvm2","avm2","bwrxvm2","bwtxvm2","uvm2","memcommitedvm2","memresidentvm2","netusagerxvm2","netusagetxvm2","qvm2","quvm2","queuestatusvm2","stealvm2"
94,10,10,100,50,5412.00,28.00,1.00,0.32,12028469.41,12113940.86,0.03,19.40,0.00,91.52,92.17,153930.64,0.28,0.11,0.03,1.00,0.42,9158125.58,9223743.39,0.04,23.38,0.00,69.61,70.13,59594.05,0.28,0.06,0.00
95,10,10,100,50,5219.99,27.79,0.98,0.31,14946886.14,14961280.40,0.03,18.81,0.00,111.50,114.16,129968.57,0.28,0.15,0.00,0.95,0.42,11386069.98,11431340.35,0.04,22.69,0.00,83.40,83.67,46494.62,0.26,0.03,0.03
96,10,10,100,50,5223.00,29.00,1.00,0.32,15012028.62,15120057.48,0.03,19.30,0.00,114.21,115.07,133258.15,0.28,0.16,0.00,1.00,0.42,11428417.03,11511326.18,0.04,23.44,0.00,86.95,87.61,47011.72,0.27,0.03,0.03
97,10,10,100,100,4954.41,28.38,0.96,0.31,2962946.23,2898992.26,0.03,18.49,0.00,22.27,21.89,182815.60,0.27,0.12,0.07,0.98,0.41,2233044.05,2257327.83,0.03,22.62,0.00,16.73,17.02,19385.90,0.25,0.09,0.00
98,10,10,100,100,5042.00,29.00,1.00,0.32,3019507.07,3038939.41,0.03,19.40,0.00,22.76,22.86,191797.18,0.28,0.12,0.07,1.00,0.42,2296161.45,2310178.68,0.03,23.46,0.00,17.32,17.37,20243.07,0.26,0.09,0.00
99,10,10,100,100,4808.63,29.86,0.95,0.32,5941343.54,6076101.53,0.03,18.43,0.00,44.71,45.09,182893.13,0.27,0.11,0.07,0.97,0.41,4493163.66,4573706.76,0.03,22.25,0.00,33.14,33.46,27812.19,0.26,0.05,0.00
100,10,10,100,100,4941.00,30.00,1.00,0.32,6041634.86,6084395.59,0.03,19.38,0.00,45.83,46.14,185739.44,0.28,0.12,0.07,1.00,0.42,4594688.97,4625825.32,0.03,23.38,0.00,34.82,35.03,28646.31,0.27,0.06,0.00
101,10,10,100,100,4640.47,28.40,0.99,0.31,8995668.11,8888731.10,0.03,18.46,0.00,67.73,67.53,168574.05,0.27,0.13,0.00,1.00,0.42,6499936.66,6476311.59,0.03,22.90,0.00,48.92,48.74,15899.00,0.24,0.05,0.10
102,10,10,100,100,4649.00,29.00,1.00,0.32,9044714.00,9108974.55,0.03,19.40,0.00,68.72,69.17,169125.98,0.27,0.14,0.00,1.00,0.43,6701752.10,6747813.74,0.03,23.38,0.00,50.90,51.26,16143.22,0.24,0.06,0.10
103,10,10,100,100,4603.14,29.78,0.97,0.31,11520686.63,11789222.99,0.03,19.07,0.00,88.58,91.93,180533.40,0.27,0.14,0.07,1.00,0.42,8892900.62,8729843.30,0.03,23.07,0.00,66.67,66.55,13061.21,0.22,0.05,0.00
104,10,10,100,100,4762.00,30.00,1.00,0.32,12052755.38,12139766.55,0.03,19.30,0.00,91.72,92.31,182784.38,0.28,0.14,0.07,1.00,0.43,8927834.62,8991024.23,0.03,23.38,0.00,67.90,68.36,13200.08,0.22,0.05,0.00
